ID_ATTACK;DATE;COUNTRY;CITY;PERPETRATOR_GROUP;FATALITIES;INJURED;TARGET_TYPE
202010310011;2020-10-31;France;Chateaudun;Unknown;0;0;Religious Figures/Institutions
202010290006;2020-10-29;France;Lyon;Muslim extremists;0;0;Transportation
202010290003;2020-10-29;France;Avignon;Generation Identity;1;0;Police,Private Citizens & Property
202010290002;2020-10-29;France;Nice;Al-Mahdi in Southern Tunisia;3;1;Private Citizens & Property,Religious Figures/Institutions
202010160007;2020-10-16;France;Paris;Jihadi-inspired extremists (suspected);2;0;Educational Institution
202009250005;2020-09-25;France;Paris;Jihadi-inspired extremists;0;2;Journalists & Media,Journalists & Media
202008240035;2020-08-24;France;Poissy;Unknown;0;0;Business
202008130044;2020-08-13;France;Lyon;Unknown;0;0;Religious Figures/Institutions
202008070014;2020-08-07;France;Bron;Unknown;0;0;Religious Figures/Institutions
202008060016;2020-08-06;France;Le Havre;Palestinian Extremists;0;0;Business
202007140030;2020-07-14;France;Bastia;Corsican National Liberation Front (FLNC);0;0;Police
202006040027;2020-06-04;France;Paris;Zouaves Paris (ZVP);0;1;Business
202005300017;2020-05-30;France;Besancon;Anarchists;0;0;Government (General)
202005180023;2020-05-18;France;Herbeys;Conspiracy theory extremists;0;0;Telecommunication
202005180022;2020-05-18;France;Seyssinet-Pariset;Conspiracy theory extremists;0;0;Telecommunication
202005180021;2020-05-18;France;Jarrie;Conspiracy theory extremists;0;0;Telecommunication
202005040029;2020-05-04;France;Nivillac;Unknown;0;0;Police
202005020042;2020-05-02;France;Bouguenais;Action Directe Anarchiste (ADA);0;0;Government (General)
202004270015;2020-04-27;France;Colombes;Jihadi-inspired extremists;0;2;Police
202004040007;2020-04-04;France;Romans-sur-Isere;Jihadi-inspired extremists;2;5;Private Citizens & Property
202002030014;2020-02-03;France;Dieuze;Jihadi-inspired extremists;0;2;Police
202001300055;2020-01-30;France;Lille;Unknown;1;0;Journalists & Media
202001050006;2020-01-05;France;Metz;Muslim extremists;0;1;Police
202001030001;2020-01-03;France;Villejuif;Jihadi-inspired extremists;2;2;Private Citizens & Property
201912200019;2019-12-20;France;Suratone;Corsican National Liberation Front (FLNC);0;0;Business
201910280008;2019-10-28;France;Bordeaux;Conspiracy theory extremists;0;2;Religious Figures/Institutions
201910030007;2019-10-03;France;Paris;Jihadi-inspired extremists;5;2;Police
201909170020;2019-09-17;France;Charencey;Animal Rights extremists;0;0;Business
201908310019;2019-08-31;France;Lyon;Muslim extremists;1;8;Private Citizens & Property
201906270020;2019-06-27;France;Brest;Unknown;1;2;Private Citizens & Property,Religious Figures/Institutions
201905240007;2019-05-24;France;Lyon;Jihadi-inspired extremists;0;13;Business
201904010022;2019-04-01;France;Bastia;Unknown;0;0;Government (General)
201904010021;2019-04-01;France;Bastia;Unknown;0;0;Government (General)
201903300033;2019-03-30;France;Venzolasca;Unknown;0;0;Private Citizens & Property
201903290024;2019-03-29;France;Cargese;Unknown;0;0;Private Citizens & Property
201903170026;2019-03-17;France;Paris;Anti-Christian extremists (suspected);0;0;Religious Figures/Institutions
201903100054;2019-03-10;France;Unknown;Unknown;0;0;Private Citizens & Property
201903100053;2019-03-10;France;Unknown;Unknown;0;0;Private Citizens & Property
201903100052;2019-03-10;France;Unknown;Unknown;0;0;Private Citizens & Property
201903100051;2019-03-10;France;Unknown;Unknown;0;0;Private Citizens & Property
201903100050;2019-03-10;France;Piana;Unknown;0;0;Private Citizens & Property
201903100049;2019-03-10;France;Piana;Unknown;0;0;Private Citizens & Property
201903050022;2019-03-05;France;Conde-sur-Sarthe;Jihadi-inspired extremists;1;3;Police
201901290039;2019-01-29;France;Jarrie;Anarchists;0;0;Telecommunication
201901280028;2019-01-28;France;Grenoble;Anarchists;0;0;Journalists & Media
201812110001;2018-12-11;France;Strasbourg;Jihadi-inspired extremists;5;11;Private Citizens & Property,Private Citizens & Property
201809270045;2018-09-28;France;Hotonnes;Animal Rights extremists;0;0;Business
201807250037;2018-07-25;France;Orleans;Unknown;0;0;Religious Figures/Institutions
201806170013;2018-06-17;France;La Seyne-sur-Mer;Unknown;0;2;Business
201806120027;2018-06-12;France;Paris;Unknown;0;2;Business
201806020001;2018-06-02;France;Auneau;Unknown;0;0;Religious Figures/Institutions
201805120004;2018-05-12;France;Paris;Jihadi-inspired extremists;2;4;Private Citizens & Property,Private Citizens & Property,Private Citizens & Property
201803290027;2018-03-29;France;Varces-Allieres-et-Risset;Unknown;0;0;Military
201803230024;2018-03-23;France;Paris;Muslim extremists;1;0;Private Citizens & Property
201803230017;2018-03-23;France;Trebes;Jihadi-inspired extremists;4;13;Business
201803230016;2018-03-23;France;Carcassonne;Jihadi-inspired extremists;0;1;Police
201803230015;2018-03-23;France;Carcassonne;Jihadi-inspired extremists;1;1;Private Citizens & Property
201801090022;2018-01-09;France;Creteil;Anti-Semitic extremists (suspected);0;0;Business
201711040027;2017-11-04;France;Creteil;Anti-Semitic extremists;0;0;Private Citizens & Property
201710260021;2017-10-26;France;Meylan;Feminist extremists;0;0;Police
201710160034;2017-10-16;France;Paris;Anarchists;0;0;Business
201710050022;2017-10-05;France;Paris;Unknown;0;0;Business
201710010010;2017-10-01;France;Marseille;Unknown;3;0;Transportation
201709300036;2017-09-30;France;Paris;Muslim extremists;0;0;Private Citizens & Property,Private Citizens & Property
201709260050;2017-09-26;France;Dijon;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709260049;2017-09-26;France;Dijon;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709260048;2017-09-26;France;Dijon;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709210023;2017-09-21;France;Grenoble;Anarchist Revolt Against Exiled Gendarmes,The Nocturnals;0;1;Police
201709190030;2017-09-19;France;Limoges;Anarchist Revolt Against Exiled Gendarmes;0;0;Police
201709150044;2017-09-15;France;Chalon-sur-Saone;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709150027;2017-09-15;France;Chalon-sur-Saone;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709150014;2017-09-15;France;Paris;Jihadi-inspired extremists;0;0;Military
201709130032;2017-09-13;France;Dijon;The Defense Command of the French People and the Motherland (CDPPF);0;1;Private Citizens & Property
201709130022;2017-09-13;France;Toulouse;Unknown;0;7;Police,Private Citizens & Property
201708090015;2017-08-09;France;Levallois-Perret;Muslim extremists;0;6;Military
201708050014;2017-08-05;France;Paris;Jihadi-inspired extremists;0;0;Military
201707300029;2017-07-30;France;Marseille;Unknown;0;0;Private Citizens & Property
201707180001;2017-07-18;France;Saint-Laurent-sous-Coiron;Wild Individualities;0;0;Telecommunication
201706290017;2017-06-29;France;Creteil;Anti-Muslim extremists;0;0;Private Citizens & Property
201706190022;2017-06-19;France;Paris;Jihadi-inspired extremists;1;0;Police
201706150052;2017-06-15;France;Piegros-la-Clastre;Children and Matches (Des enfants et des allumettes),Wild Individualities;0;0;Telecommunication
201706080046;2017-06-08;France;Crest;Wild Individualities;0;0;Utilities
201706060028;2017-06-06;France;Paris;Jihadi-inspired extremists;0;2;Police
201705300052;2017-05-30;France;Grenoble;Wild Individualities;0;0;Utilities
201705300046;2017-05-30;France;Helette;Irrintzi;0;0;Private Citizens & Property
201705030033;2017-05-03;France;Furiani;Corsican Nationalists;0;0;Business
201705020036;2017-05-02;France;Biguglia;Corsican Nationalists;0;0;Business
201705020035;2017-05-02;France;Corte;Corsican Nationalists;0;0;Business
201704200005;2017-04-20;France;Paris;Jihadi-inspired extremists;2;3;Police,Tourists
201704170063;2017-04-17;France;Corte;Corsican Nationalists;0;0;Business
201704130009;2017-04-13;France;Paris;Fight Xenophobia;0;0;Government (General)
201704050052;2017-04-05;France;Bastia;Unknown;0;0;Business
201704020035;2017-04-02;France;Alfortville;Unknown;0;0;Religious Figures/Institutions
201703280042;2017-03-28;France;Grenoble;Wild Individualities;0;0;Government (General)
201703230032;2017-03-23;France;Grenoble;Wild Individualities;0;0;Government (General),Private Citizens & Property
201703180018;2017-03-18;France;Paris;Muslim extremists;1;0;Military
201703160001;2017-03-16;France;Paris;Conspiracy of Cells of Fire,Revolutionary Struggle (suspected);0;1;NGO
201703140035;2017-03-14;France;Narbonne;Comite d'Action Viticole;0;0;Business
201702030003;2017-02-03;France;Paris;Jihadi-inspired extremists;0;2;Military
201701060032;2017-01-06;France;Saint-Etienne;Unknown;0;0;Religious Figures/Institutions
201612160023;2016-12-16;France;Chateau-Thierry;Unknown;0;0;Religious Figures/Institutions
201612080027;2016-12-08;France;Toulouse;Unknown;0;0;Religious Figures/Institutions
201611200029;2016-11-20;France;Paris;Unknown;0;15;Private Citizens & Property
201611050021;2016-11-05;France;Nantes;Unknown;0;0;Government (Diplomatic)
201610250048;2016-10-25;France;Calais;No Borders Group;0;Unknown;Private Citizens & Property
201609040042;2016-09-04;France;Paris;Jihadi-inspired extremists;0;0;Unknown
201608300025;2016-08-30;France;Toulouse;Unknown;0;1;Police
201608190047;2016-08-19;France;Strasbourg;Anti-Semitic extremists;0;1;Private Citizens & Property
201607270034;2016-07-27;France;Muret;Anti-Muslim extremists (suspected);0;0;Religious Figures/Institutions
201607260001;2016-07-26;France;Saint-Etienne-du-Rouvray;Jihadi-inspired extremists;3;1;Religious Figures/Institutions
201607190060;2016-07-19;France;Maureilhan;Comite d'Action Viticole;0;0;Business
201607140001;2016-07-14;France;Nice;Jihadi-inspired extremists;87;433;Private Citizens & Property,Private Citizens & Property
201607040047;2016-07-04;France;Ouveillan;Comite d'Action Viticole;0;0;Business
201606210047;2016-06-21;France;Paris;Unknown;0;0;Government (Diplomatic)
201606130011;2016-06-13;France;Magnanville;Jihadi-inspired extremists;3;0;Police
201605260031;2016-05-26;France;Saint Julien du Poy;Jihadi-inspired extremists;0;1;Military
201605010013;2016-04-30;France;Ajaccio;Anti-Muslim extremists (suspected);0;0;Religious Figures/Institutions
201604230044;2016-04-23;France;Strasbourg;Unknown;0;1;Military
201602030088;2016-02-03;France;Propriano;Unknown;0;0;Business
201602030060;2016-02-03;France;Propriano;Unknown;0;0;Business
201601110023;2016-01-11;France;Marseille;Jihadi-inspired extremists;0;1;Educational Institution
201601100040;2016-01-10;France;Veneux-les-Sablons;Unknown;0;0;Religious Figures/Institutions
201601100039;2016-01-10;France;Fontainebleau;Unknown;0;0;Religious Figures/Institutions
201601070025;2016-01-07;France;Paris;Jihadi-inspired extremists;1;0;Police
201601010017;2016-01-01;France;Valence;Jihadi-inspired extremists;0;3;Military
201512240033;2015-12-24;France;Ajaccio;Unknown;3;0;Police,Other
201512030059;2015-12-03;France;Ghisonaccia;Unknown;0;0;Business
201511260056;2015-11-26;France;Elne;White supremacists/nationalists;0;0;Religious Figures/Institutions
201511180055;2015-11-18;France;Marseille;Anti-Muslim extremists;0;1;Private Citizens & Property
201511130009;2015-11-13;France;Saint Denis;Islamic State of Iraq and the Levant (ISIL);1;34;Business
201511130008;2015-11-13;France;Paris;Islamic State of Iraq and the Levant (ISIL);93;217;Business,Private Citizens & Property
201511130007;2015-11-13;France;Paris;Islamic State of Iraq and the Levant (ISIL);1;18;Business
201511130006;2015-11-13;France;Paris;Islamic State of Iraq and the Levant (ISIL);19;26;Business,Private Citizens & Property
201511130005;2015-11-13;France;Paris;Islamic State of Iraq and the Levant (ISIL);5;24;Business
201511130004;2015-11-13;France;Saint Denis;Islamic State of Iraq and the Levant (ISIL);1;34;Business
201511130003;2015-11-13;France;Paris;Islamic State of Iraq and the Levant (ISIL);15;26;Business,Private Citizens & Property
201511130002;2015-11-13;France;Saint Denis;Islamic State of Iraq and the Levant (ISIL);2;34;Business,Private Citizens & Property
201510240068;2015-10-24;France;Marseille;Anti-Semitic extremists;0;3;Private Citizens & Property,Religious Figures/Institutions
201508250065;2015-08-23;France;Auch;Anti-Muslim extremists;0;0;Religious Figures/Institutions
201508210035;2015-08-21;France;Arras;Islamic State of Iraq and the Levant (ISIL);0;3;Transportation
201507140081;2015-07-14;France;Berre L'Etang;Unknown;0;0;Business
201507140079;2015-07-14;France;Berre L'Etang;Unknown;0;0;Business
201506260005;2015-06-26;France;Saint-Quentin-Fallavier;Jihadi-inspired extremists;1;2;Business
201505280097;2015-05-28;France;Ceret;Animal Liberation Front (ALF);0;0;Government (General)
201505020132;2015-05-02;France;Ciboure;Unknown;0;0;Business
201504190055;2015-04-19;France;Paris;Jihadi-inspired extremists;1;0;Private Citizens & Property,Religious Figures/Institutions
201503250070;2015-03-25;France;Henin-Beaumont;Unknown;0;0;Government (General)
201502030092;2015-02-03;France;Nice;Anti-Semitic extremists;0;2;Military,Private Citizens & Property
