Winner, Standing, Pole, Fatest_lap, City, Overtaking, Lap_nb
Raiducknen, ['Raiducknen', 'Duckmilton', 'Prostduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Alonsduck', 'Buckton', 'Ducktel'], Ayrduck, 56, Madrid, 48, 17
Alonsduck, ['Alonsduck', 'Ducktel', 'Duckmilton', 'Verstaduck', 'Ayrduck', 'Raiducknen', 'Schumaduck', 'Duckberg', 'Prostduck', 'Buckton'], Buckton, 52, Singapour, 49, 14
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Raiducknen', 'Ducktel', 'Duckberg', 'Alonsduck', 'Buckton', 'Ayrduck'], Ducktel, 58, Moscou, 40, 20
Schumaduck, ['Schumaduck', 'Duckmilton', 'Prostduck', 'Alonsduck', 'Ducktel', 'Verstaduck', 'Buckton', 'Raiducknen', 'Duckberg', 'Ayrduck'], Prostduck, 52, New York, 41, 19
Duckmilton, ['Duckmilton', 'Raiducknen', 'Ayrduck', 'Prostduck', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Duckberg', 'Ducktel', 'Buckton'], Prostduck, 50, Paris, 45, 16
Buckton, ['Buckton', 'Duckmilton', 'Verstaduck', 'Schumaduck', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Ducktel', 'Prostduck', 'Ayrduck'], Schumaduck, 59, Berlin, 48, 10
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Prostduck', 'Raiducknen', 'Buckton', 'Ducktel', 'Ayrduck', 'Alonsduck', 'Duckberg'], Prostduck, 56, Madrid, 47, 19
Duckmilton, ['Duckmilton', 'Buckton', 'Schumaduck', 'Raiducknen', 'Verstaduck', 'Ducktel', 'Ayrduck', 'Prostduck', 'Duckberg', 'Alonsduck'], Buckton, 58, Pekin, 50, 19
Duckmilton, ['Duckmilton', 'Ayrduck', 'Ducktel', 'Verstaduck', 'Duckberg', 'Alonsduck', 'Buckton', 'Schumaduck', 'Raiducknen', 'Prostduck'], Ayrduck, 57, Londres, 48, 19
Prostduck, ['Prostduck', 'Duckmilton', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Raiducknen', 'Duckberg', 'Buckton', 'Ayrduck'], Alonsduck, 59, Moscou, 50, 15
Duckmilton, ['Duckmilton', 'Ayrduck', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Prostduck', 'Duckberg', 'Alonsduck', 'Buckton'], Buckton, 57, Pekin, 40, 12
Verstaduck, ['Verstaduck', 'Duckmilton', 'Alonsduck', 'Ducktel', 'Schumaduck', 'Duckberg', 'Prostduck', 'Raiducknen', 'Ayrduck', 'Buckton'], Raiducknen, 51, Pekin, 47, 16
Duckmilton, ['Duckmilton', 'Verstaduck', 'Duckberg', 'Ayrduck', 'Schumaduck', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Ducktel', 'Buckton'], Alonsduck, 54, Singapour, 48, 17
Duckmilton, ['Duckmilton', 'Raiducknen', 'Ducktel', 'Buckton', 'Ayrduck', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Verstaduck', 'Prostduck'], Schumaduck, 56, Berne, 49, 15
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Buckton', 'Duckberg', 'Schumaduck', 'Prostduck', 'Raiducknen', 'Ayrduck', 'Alonsduck'], Prostduck, 54, Tokyo, 47, 11
Verstaduck, ['Verstaduck', 'Duckmilton', 'Ducktel', 'Schumaduck', 'Buckton', 'Prostduck', 'Raiducknen', 'Alonsduck', 'Duckberg', 'Ayrduck'], Raiducknen, 58, Moscou, 44, 17
Duckmilton, ['Duckmilton', 'Verstaduck', 'Raiducknen', 'Prostduck', 'Ducktel', 'Ayrduck', 'Schumaduck', 'Duckberg', 'Buckton', 'Alonsduck'], Raiducknen, 55, Londres, 45, 13
Duckmilton, ['Duckmilton', 'Schumaduck', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Prostduck', 'Buckton', 'Ayrduck', 'Duckberg', 'Ducktel'], Alonsduck, 58, Madrid, 42, 17
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Ayrduck', 'Verstaduck', 'Buckton', 'Duckberg', 'Prostduck'], Duckmilton, 58, Tokyo, 40, 12
Ducktel, ['Ducktel', 'Duckmilton', 'Verstaduck', 'Alonsduck', 'Schumaduck', 'Prostduck', 'Raiducknen', 'Duckberg', 'Ayrduck', 'Buckton'], Ducktel, 57, Rio, 44, 13
Duckmilton, ['Duckmilton', 'Ayrduck', 'Verstaduck', 'Ducktel', 'Buckton', 'Raiducknen', 'Prostduck', 'Alonsduck', 'Schumaduck', 'Duckberg'], Duckberg, 51, Rome, 40, 12
Duckmilton, ['Duckmilton', 'Ayrduck', 'Duckberg', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Schumaduck', 'Ducktel', 'Raiducknen', 'Buckton'], Verstaduck, 59, Berne, 42, 11
