x,y,place,population,surface,Environnement,Transports,Sécurité,Santé,Sports et loisirs,Culture,Enseignement,Commerces,Qualité de vie
-0.1788233,0.70701045,Aast,190,4.89,6.63,1.29,4.73,7.99,0.34,1.22,7.6,3.93,9.2
-0.09809987,0.78726274,Abainville,318,13.67,1.73,6.24,5.2,4.13,1.53,1.29,1.86,6.99,7.28
-0.11988744,0.820176,Abancourt,433,5.69,1.43,5.4,3.93,8.26,2.29,9.7,0.89,8.09,0.41
-0.1373285,0.8133629,Abancourt,567,5.96,2.98,3.76,7.08,2.13,6.45,1.93,5.38,1.56,4.28
-0.08868992,0.7926844,Abaucourt,309,7.96,4.18,3.18,7.0,1.02,0.1,9.33,4.61,3.15,6.31
-0.09625692,0.79881454,Abaucourt-Hautecourt,111,9.74,2.92,3.83,2.56,9.6,1.31,3.35,2.71,6.26,5.41
-0.09640001,0.7624785,Abbans-Dessous,174,3.21,5.55,7.36,7.24,9.76,4.83,8.28,7.95,1.87,4.06
-0.096335314,0.7622517,Abbans-Dessus,274,4.39,1.64,2.69,0.28,2.51,5.93,0.29,9.35,6.24,6.59
-0.18151517,0.78343755,Abbaretz,1511,62.13,5.31,5.28,2.1,7.34,0.62,3.46,5.27,5.63,8.59
-0.13390093,0.80673164,Abbecourt,670,7.47,8.51,6.1,3.07,6.88,4.23,3.19,2.65,5.79,7.95
-0.12184264,0.8091397,Abbécourt,447,6.04,3.31,9.06,9.89,4.57,7.23,7.89,3.31,8.53,0.08
-0.08894995,0.76812935,Abbenans,370,11.31,3.43,0.99,5.22,6.55,3.9,4.76,7.39,5.05,0.36
-0.1353822,0.8202946,Abbeville,24567,26.46,4.21,6.56,4.22,7.26,7.18,5.95,5.3,8.84,4.75
-0.13657348,0.7892718,Abbéville-la-Rivière,262,15.0,5.8,9.57,6.97,6.18,6.71,7.0,4.03,3.99,9.59
-0.09279473,0.79843366,Abbéville-lès-Conflans,244,7.78,3.02,6.52,6.94,3.06,4.11,4.21,9.78,0.63,6.0
