"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1964",1.38135929603114,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1965",1.25591122168148,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1966",1.55104635706426,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1967",1.86488059250002,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1968",1.80799743561384,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1969",1.80193374780303,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1970",1.63837321066839,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1971",1.88974781666884,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1972",2.58961715493526,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1973",2.2945170672018,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1974",2.65691962114405,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1975",4.87865540261642,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1976",4.7499983719519,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1977",5.60413449182044,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1978",6.29008617833514,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1979",6.26490195559399,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1980",6.1051526695912,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1981",5.78362504645968,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1982",7.16263569573676,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1983",9.96137906286821,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1984",8.98680440642761,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1985",8.25813617622227,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1986",8.08057117927521,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1987",8.10639516909526,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1988",7.2258083476125,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1989",6.17498797179624,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1990",6.92596377052426,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1991",9.57923000965329,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1992",10.7287675708731,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1993",10.873773085581,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1994",9.7186786411298,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1995",8.46925628544632,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1996",8.50621318628521,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1997",8.36223009500942,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1998",7.67559744144404,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","1999",6.87233376065081,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","2000",6.28261913416262,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","2001",6.74231454361411,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","2002",6.36761733935463,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","2003",5.928697905392,
"AUS","UNEMPFORECAST","TOT","PC_LF","A","2004",5.39472577382596,
