_id,orderId,orderDate,orderStatus,orderTotalCost,paymentMethod,customerOrder,totalProducts,deliveryDate,deliveryTime,datesByStatus.In preparation,datesByStatus.In shipment,datesByStatus.Shipped,orderLines.orderLineId,orderLines.orderId,orderLines.productsLines[0].orderLineId,orderLines.productsLines[1].orderLineId,orderLines.productsLines[2].orderLineId,orderLines.productsLines[3].orderLineId,orderLines.productsLines[4].orderLineId,orderLines.productsLines[0].productId,orderLines.productsLines[1].productId,orderLines.productsLines[2].productId,orderLines.productsLines[3].productId,orderLines.productsLines[4].productId,orderLines.productsLines[0].quantity,orderLines.productsLines[1].quantity,orderLines.productsLines[2].quantity,orderLines.productsLines[3].quantity,orderLines.productsLines[4].quantity,orderLines.productsLines[0].originalPrice,orderLines.productsLines[1].originalPrice,orderLines.productsLines[2].originalPrice,orderLines.productsLines[3].originalPrice,orderLines.productsLines[4].originalPrice,orderLines.productsLines[0].discountedPrice,orderLines.productsLines[1].discountedPrice,orderLines.productsLines[2].discountedPrice,orderLines.productsLines[3].discountedPrice,orderLines.productsLines[4].discountedPrice,orderLines.productsLines[0].discountAmount,orderLines.productsLines[1].discountAmount,orderLines.productsLines[2].discountAmount,orderLines.productsLines[3].discountAmount,orderLines.productsLines[4].discountAmount,orderLines.productsLines[0].totalProductPrice,orderLines.productsLines[1].totalProductPrice,orderLines.productsLines[2].totalProductPrice,orderLines.productsLines[3].totalProductPrice,orderLines.productsLines[4].totalProductPrice,datesByStatus.In delivery,datesByStatus.Delivered
65e723db2b05f3456f8e3ddc,1,2023-08-30,Shipped,219.36,Cheque,14,16,2023-09-02,23:47,2023-08-30,2023-08-31,2023-09-01,-499,1,-499,-499,-499,-499,-499,454,169,69,274,258,3,4,4,2,3,39.62,7.38,24.1,8.11,0.43,35.66,5.54,19.28,6.08,0.32,10,25,20,25,25,106.97,22.14,77.12,12.16,0.97,,
65e723db2b05f3456f8e3ddd,2,2023-06-27,In preparation,469.98,Credit card,260,16,2023-06-29,0:51,2023-06-27,,,-498,2,-498,-498,-498,-498,-498,113,325,327,25,353,2,5,1,4,4,32.27,20.02,93.73,84.4,4.6,25.82,10.01,70.3,71.74,2.76,20,50,25,15,40,51.63,50.05,70.3,286.96,11.04,,
65e723db2b05f3456f8e3dde,3,2024-01-26,In preparation,225.21,Credit card,233,12,2024-01-31,4:2,2024-01-26,,,-497,3,-497,-497,-497,,,224,347,247,,,5,3,4,,,23.12,3.72,36.88,,,19.65,2.98,29.5,,,15,20,20,,,98.26,8.93,118.02,,,,
65e723db2b05f3456f8e3ddf,4,2023-07-23,In shipment,941.61,Bank transfer,59,20,2023-07-29,9:12,2023-07-23,2023-07-24,,-496,4,-496,-496,-496,-496,-496,64,82,226,329,396,5,4,5,5,1,51.4,52.19,65.16,63.51,96.54,33.41,42.8,55.39,50.81,72.41,35,18,15,20,25,167.05,171.18,276.93,254.04,72.41,,
65e723db2b05f3456f8e3de0,5,2023-10-17,In shipment,127.07,Bank transfer,138,5,2023-10-18,20:58,2023-10-17,2023-10-18,,-495,5,-495,-495,,,,454,308,,,,2,3,,,,39.62,23.23,,,,35.66,18.58,,,,10,20,,,,71.32,55.75,,,,,
65e723db2b05f3456f8e3de1,6,2024-02-20,In preparation,201.12,PayPal,2,8,2024-02-21,15:53,2024-02-20,,,-494,6,-494,-494,,,,367,490,,,,4,4,,,,60.97,1.88,,,,48.78,1.5,,,,20,20,,,,195.1,6.02,,,,,
65e723db2b05f3456f8e3de2,7,2024-01-20,In preparation,488.86,Bank transfer,281,11,2024-01-24,8:16,2024-01-20,,,-493,7,-493,-493,-493,,,350,73,264,,,5,4,2,,,30.36,87.17,45.32,,,25.81,74.09,31.72,,,15,15,30,,,129.03,296.38,63.45,,,,
65e723db2b05f3456f8e3de3,8,2023-06-09,In shipment,229.24,Credit card,192,11,2023-06-13,5:47,2023-06-09,2023-06-10,,-492,8,-492,-492,-492,-492,,88,176,30,162,,4,2,4,1,,31.34,99.09,9.38,1.67,,18.8,59.45,8.44,1.34,,40,40,10,20,,75.22,118.91,33.77,1.34,,,
65e723db2b05f3456f8e3de4,9,2023-07-25,In preparation,88.17,Credit card,381,4,2023-07-28,15:0,2023-07-25,,,-491,9,-491,-491,,,,449,322,,,,2,2,,,,4.56,44.93,,,,3.65,40.44,,,,20,10,,,,7.3,80.87,,,,,
65e723db2b05f3456f8e3de5,10,2023-03-12,In shipment,306.45,PayPal,423,10,2023-03-12,6:49,2023-03-12,2023-03-13,,-490,10,-490,-490,-490,-490,-490,304,492,114,249,221,3,2,1,3,1,79.75,15.68,29.57,1.76,52.57,71.78,12.54,19.22,1.23,43.11,10,20,35,30,18,215.33,25.09,19.22,3.7,43.11,,
